country,wave,year,n_respondents,index_all,index_imf,index_idawb,index_unsc
ARG,1.0,1984.0,1002,-0.0482157613891505,0.1540534238837335,,-0.1634929575586375
ARG,2.0,1991.0,1002,0.0879740975619357,0.1885731865863251,0.148705878071943,-0.0082353885964219
ARG,3.0,1995.0,1079,-0.0489597479240274,-0.0681599166998989,0.0592829232479045,-0.1796699706036538
ARG,4.0,1999.0,1280,-0.2750771501996123,-0.1171271125714017,-0.2760309567556706,-0.3365010599389157
ARG,5.0,2006.0,1002,0.0035105563390205,-0.0721214308553587,0.0112361689217813,-0.0292473267524979
ARG,6.0,2013.0,1030,-0.0111635079226282,0.0236310397109327,0.0571010180512145,-0.2878399990321976
ARG,7.0,2017.0,1003,0.030421352089593,-0.0729687752978047,0.0518478084680805,0.0414999991964066
CHL,2.0,1990.0,1500,-0.0850371752425101,-0.0554577307234529,-0.134225601157904,-0.0819064192240757
CHL,3.0,1996.0,1000,-0.0661346758831767,-0.0370657827216993,-0.0988143994618626,-0.0692949123302913
CHL,4.0,2000.0,1200,-0.0798107032589937,0.0128118230249304,-0.1269312776666809,-0.0776762604605111
CHL,5.0,2006.0,1000,-0.0742292603642941,-0.1184873723759755,-0.0896782541686826,-0.0539171151182575
CHL,6.0,2012.0,1000,-0.0606575201220024,-0.2074061773968573,0.0118534594943272,-0.2333942443445865
CHL,7.0,2018.0,1000,-0.0607147274600729,-0.055108370072133,-0.170498760273986,0.0485112424788498
CHN,2.0,1990.0,1000,0.1170023645643574,0.0129604619191535,-0.1537265556390045,0.3110723574973307
CHN,3.0,1995.0,1500,0.1356914187874045,0.1042564787117701,-0.0210691991836636,0.2375674228996533
CHN,4.0,2001.0,999,-0.0137480874381253,-0.132246394557078,-0.0616953254367242,0.0985777788621195
CHN,5.0,2007.0,1979,0.1228103956153337,-0.032367956073548,0.1139147518615359,0.1700190067381561
CHN,6.0,2013.0,2250,0.1651411926986302,0.1471369932458183,0.104227920407334,0.3126907139726122
CHN,7.0,2018.0,3036,0.1167374679548667,0.1120463193804293,0.0969216771623735,0.1292345127831707
IND,2.0,1990.0,2500,0.0331331352429178,-0.0537836815628261,0.0363320527779251,0.0970482351151787
IND,3.0,1995.0,2035,-0.077492395803634,0.0743121172692253,-0.2141350455559934,0.0288851231483224
IND,4.0,2001.0,1967,-0.1653131906524604,-0.1543171613096693,-0.1680365615407888,-0.1408755445906648
IND,5.0,2006.0,1977,-0.1513087470137218,-0.1831194034791984,-0.0819883209652033,-0.2733191927645249
IND,6.0,2012.0,4077,-0.0132386526440805,-0.0887735207027828,-0.0728096951807954,0.2455837796940159
IND,7.0,2023.0,1692,0.0111749288164785,-0.1338738854418538,0.1049727997921991,-0.0512232979795462
JPN,1.0,1981.0,1192,0.1243546585260473,0.332477915312494,,-0.0361189183272598
JPN,2.0,1990.0,1010,-0.1422248080408008,-0.1008114257621606,-0.2916540872517789,-0.031538651812923
JPN,3.0,1995.0,1054,-0.0289741465024667,-0.1427725263566398,0.0454868352382069,-0.0640937933701903
JPN,4.0,2000.0,1361,0.0067984028007303,-0.1509968557830482,0.0681342147851295,0.0064495687855363
JPN,5.0,2005.0,1096,-0.0557275671549397,-0.1054676349486723,-0.0872088583116555,0.0798548093868085
JPN,6.0,2010.0,2439,-0.0419296034215337,-0.0321262885035358,-0.0092407047106641,-0.0611021551487472
JPN,7.0,2019.0,1353,0.0811736696427246,0.0957394340521555,0.0936534536031747,0.0797613776967825
KOR,1.0,1982.0,967,-0.0521829577937028,0.1199627902443629,,-0.139711115472284
KOR,2.0,1990.0,1251,0.0076202588705553,0.0822332916843568,0.0459722656695131,-0.0745832269816362
KOR,3.0,1996.0,1249,0.1072574419936866,-0.0177180418673756,0.1278487352388867,0.1788592080146995
KOR,4.0,2001.0,1200,0.0378625280617003,0.11313937376583,-0.0136412542927275,0.0754928385598939
KOR,5.0,2005.0,1200,0.0403502274481211,0.1984464305551009,-0.027884801416595,0.0845081235031458
KOR,6.0,2010.0,1200,0.035465673514791,0.0127636479173857,0.0518577503013147,0.0152612828747206
KOR,7.0,2018.0,1245,0.0789115666213971,0.1940516741697915,0.0017810563935972,0.1032526707603258
