country,wave,year,n_respondents,index_all,index_imf,index_idawb,index_unsc
ALB,3.0,1998.0,998,0.0807649863834401,0.2746477645748614,-0.1392614448761009,0.2770890879900253
ALB,4.0,2002.0,1000,0.1336521928423997,0.2658799294441383,0.1238901245716703,0.0776686830250825
AND,5.0,2005.0,1003,-0.151330569268142,-0.2263339052161609,0.1323962495416256,-0.5225110986315613
AND,7.0,2018.0,1004,0.0468213023772476,0.135982944948858,0.2279424806387851,-0.3881193108849486
ARG,1.0,1984.0,1001,-0.3047145531850628,0.1540534238837335,,-0.4688141787025114
ARG,2.0,1991.0,1002,-0.0360246854205335,0.1478796676805309,0.2469127816561143,-0.3738183124616966
ARG,3.0,1995.0,1079,-0.1424633494037936,-0.1094565759067846,0.1016004996592397,-0.4474226385431606
ARG,4.0,1999.0,1280,-0.22087493147539,-0.1492293955590085,-0.1787992904069388,-0.333978255790763
ARG,5.0,2006.0,1002,-0.1783189489851376,-0.1476796319250174,-0.1169485451879568,-0.335423856362098
ARG,6.0,2013.0,1030,-0.1221101153624259,-0.0444480723667276,-0.002425891651745,-0.3808102882888422
ARG,7.0,2017.0,1003,-0.0503901539230463,0.0843920159677783,0.0138927463340969,-0.293437034228426
ARM,3.0,1997.0,1999,0.0184665653396351,-0.10852515666973,-0.1560047714046013,0.3469310599951112
ARM,6.0,2011.0,1100,0.0388448127178378,0.0240327712051726,-0.1966733771636313,0.3630542188518695
ARM,7.0,2021.0,1223,0.0224543351834304,-0.0139993024295298,-0.158915469670569,0.2715987414343486
AUS,1.0,1981.0,1227,0.1143843278881644,,,0.1143843278881644
AUS,3.0,1995.0,2048,-0.0093245412752248,-0.057620051669206,0.2221347776795516,-0.1974046481740689
AUS,5.0,2005.0,1421,0.0692718968933768,-0.0364175697321342,0.2113407101214744,-0.0108614103297674
AUS,6.0,2012.0,1475,0.1642715414024296,0.068580581608964,0.2607700206047471,0.1338678958460475
AUS,7.0,2018.0,1811,0.1130602014234509,0.0663852281429187,0.2572477583956293,-0.0482812673667721
AZE,3.0,1997.0,2002,0.1513670096972935,0.0258186501910768,0.1374677276014436,0.2546757106640007
AZE,6.0,2011.0,1002,0.0656240950569343,-0.0970805492269652,0.1885578865082497,0.0576167154171949
BFA,5.0,2007.0,1534,0.0702380172748778,0.0735686663174632,0.0292788537851091,0.1257834626248594
BGD,3.0,1996.0,1524,0.2948801651595655,0.3064326562619852,0.3510442769180535,0.168642174662182
BGD,4.0,2002.0,1500,0.2592451229349762,0.0853992689759186,0.2626580353266871,0.3608287387271562
BGD,7.0,2018.0,1200,0.0909452509945521,-0.0898554317988371,0.0509820529613149,0.368535001126118
BGR,3.0,1997.0,1072,0.0540241195742664,0.1368115771226647,-0.1608103337942552,0.2024374878805568
BGR,5.0,2006.0,1000,-0.0524106455403227,0.1798419879190301,-0.2605721096155565,0.0240273222007383
