country,n_respondents
ZAF,16786
IND,14313
COL,12082
MEX,11714
TUR,11704
CHN,10827
RUS,10344
JPN,9523
USA,8819
EGY,8774
KOR,8315
CAN,8113
NGA,8015
AUS,7987
BRA,7673
DEU,7664
IRQ,7426
ARG,7401
PER,6822
CHL,6700
IRN,6698
UKR,6600
ESP,6319
IDN,6215
PAK,5928
ROU,5775
SGP,5496
NLD,5097
MAR,4851
JOR,4826
PHL,4800
SRB,4746
GBR,4743
GEO,4710
BLR,4642
TWN,4468
HKG,4327
ARM,4323
THA,4234
SWE,4233
BGD,4225
POL,4057
NZL,4053
URY,4000
CHE,3853
MYS,3814
KGZ,3743
ZWE,3717
VNM,3695
VEN,3590
LBY,3327
CZE,3271
HUN,3121
SVN,3113
GHA,3086
CYP,3050
MDA,3038
RWA,3034
PRI,3011
AZE,3004
FIN,3004
KAZ,2776
SVK,2761
UZB,2750
ETH,2730
EST,2554
DZA,2482
TUN,2413
ECU,2402
LBN,2400
BIH,2400
GTM,2229
NOR,2152
BGR,2073
BOL,2067
MKD,2050
AND,2007
TTO,2001
ALB,1999
HTI,1996
MNG,1638
MLI,1534
BFA,1534
SAU,1502
ZMB,1500
KWT,1303
MNE,1300
KEN,1266
SLV,1254
MMR,1200
GRC,1200
TJK,1200
LVA,1200
NIC,1200
ISR,1199
HRV,1196
TZA,1171
QAT,1060
MDV,1039
MAC,1023
ITA,1012
LTU,1009
UGA,1002
FRA,1001
PSE,1000
YEM,1000
NIR,447
DOM,417
