country,wave,n_respondents
ALB,3.0,999
ALB,4.0,1000
AND,5.0,1003
AND,7.0,1004
ARG,1.0,1005
ARG,2.0,1002
ARG,3.0,1079
ARG,4.0,1280
ARG,5.0,1002
ARG,6.0,1030
ARG,7.0,1003
ARM,3.0,2000
ARM,6.0,1100
ARM,7.0,1223
AUS,1.0,1228
AUS,3.0,2048
AUS,5.0,1421
AUS,6.0,1477
AUS,7.0,1813
AZE,3.0,2002
AZE,6.0,1002
BFA,5.0,1534
BGD,3.0,1525
BGD,4.0,1500
BGD,7.0,1200
BGR,3.0,1072
BGR,5.0,1001
BIH,3.0,1200
BIH,4.0,1200
BLR,2.0,1015
BLR,3.0,2092
BLR,6.0,1535
BOL,7.0,2067
BRA,2.0,1782
BRA,3.0,1143
BRA,5.0,1500
BRA,6.0,1486
BRA,7.0,1762
CAN,4.0,1931
CAN,5.0,2164
CAN,7.0,4018
CHE,2.0,1400
CHE,3.0,1212
CHE,5.0,1241
CHL,2.0,1500
CHL,3.0,1000
CHL,4.0,1200
CHL,5.0,1000
CHL,6.0,1000
CHL,7.0,1000
CHN,2.0,1000
CHN,3.0,1500
CHN,4.0,1000
CHN,5.0,1991
CHN,6.0,2300
CHN,7.0,3036
COL,3.0,6025
COL,5.0,3025
COL,6.0,1512
COL,7.0,1520
CYP,5.0,1050
CYP,6.0,1000
CYP,7.0,1000
CZE,2.0,924
CZE,3.0,1147
CZE,7.0,1200
DEU,3.0,2026
DEU,5.0,2064
DEU,6.0,2046
DEU,7.0,1528
DOM,3.0,417
DZA,4.0,1282
DZA,6.0,1200
ECU,6.0,1202
ECU,7.0,1200
EGY,4.0,3000
EGY,5.0,3051
EGY,6.0,1523
EGY,7.0,1200
ESP,2.0,1510
ESP,3.0,1211
ESP,4.0,1209
ESP,5.0,1200
ESP,6.0,1189
EST,3.0,1021
EST,6.0,1533
ETH,5.0,1500
ETH,7.0,1230
FIN,1.0,1003
FIN,3.0,987
FIN,5.0,1014
FRA,5.0,1001
GBR,3.0,1093
GBR,5.0,1041
GBR,7.0,2609
GEO,3.0,2008
GEO,5.0,1500
GEO,6.0,1202
GHA,5.0,1534
GHA,6.0,1552
GRC,7.0,1200
GTM,5.0,1000
GTM,7.0,1229
HKG,5.0,1252
HKG,6.0,1000
HKG,7.0,2075
HRV,3.0,1196
HTI,6.0,1996
HUN,1.0,1464
HUN,3.0,650
HUN,5.0,1007
IDN,4.0,1000
IDN,5.0,2015
IDN,7.0,3200
IND,2.0,2500
IND,3.0,2040
IND,4.0,2002
IND,5.0,2001
IND,6.0,4078
IND,7.0,1692
IRN,4.0,2532
IRN,5.0,2667
IRN,7.0,1499
IRQ,4.0,2325
IRQ,5.0,2701
IRQ,6.0,1200
IRQ,7.0,1200
ISR,4.0,1199
ITA,5.0,1012
JOR,4.0,1223
JOR,5.0,1200
JOR,6.0,1200
JOR,7.0,1203
JPN,1.0,1204
JPN,2.0,1011
JPN,3.0,1054
JPN,4.0,1362
JPN,5.0,1096
JPN,6.0,2443
JPN,7.0,1353
KAZ,6.0,1500
KAZ,7.0,1276
KEN,7.0,1266
KGZ,4.0,1043
KGZ,6.0,1500
KGZ,7.0,1200
KOR,1.0,970
KOR,2.0,1251
KOR,3.0,1249
KOR,4.0,1200
KOR,5.0,1200
KOR,6.0,1200
KOR,7.0,1245
KWT,6.0,1303
LBN,6.0,1200
LBN,7.0,1200
LBY,6.0,2131
LBY,7.0,1196
LTU,3.0,1009
LVA,3.0,1200
MAC,7.0,1023
MAR,4.0,1251
MAR,5.0,1200
MAR,6.0,1200
MAR,7.0,1200
MDA,3.0,984
MDA,4.0,1008
MDA,5.0,1046
MDV,7.0,1039
MEX,1.0,1837
MEX,2.0,1531
MEX,3.0,1510
MEX,4.0,1535
MEX,5.0,1560
MEX,6.0,2000
MEX,7.0,1741
MKD,3.0,995
MKD,4.0,1055
MLI,5.0,1534
MMR,7.0,1200
MNE,3.0,240
MNE,4.0,1060
MNG,7.0,1638
MYS,5.0,1201
MYS,6.0,1300
MYS,7.0,1313
NGA,2.0,1001
NGA,3.0,1996
NGA,4.0,2022
NGA,6.0,1759
NGA,7.0,1237
NIC,7.0,1200
NIR,7.0,447
NLD,5.0,1050
NLD,6.0,1902
NLD,7.0,2145
NOR,3.0,1127
NOR,5.0,1025
NZL,3.0,1201
NZL,5.0,954
NZL,6.0,841
NZL,7.0,1057
PAK,3.0,733
PAK,4.0,2000
PAK,6.0,1200
PAK,7.0,1995
PER,3.0,1211
PER,4.0,1501
PER,5.0,1500
PER,6.0,1210
PER,7.0,1400
PHL,3.0,1200
PHL,4.0,1200
PHL,6.0,1200
PHL,7.0,1200
POL,2.0,938
POL,3.0,1153
POL,5.0,1000
POL,6.0,966
PRI,3.0,1164
PRI,4.0,720
PRI,7.0,1127
PSE,6.0,1000
QAT,6.0,1060
ROU,3.0,1239
ROU,5.0,1776
ROU,6.0,1503
ROU,7.0,1257
RUS,2.0,1961
RUS,3.0,2040
RUS,5.0,2033
RUS,6.0,2500
RUS,7.0,1810
RWA,5.0,1507
RWA,6.0,1527
SAU,4.0,1502
SGP,4.0,1512
SGP,6.0,1972
SGP,7.0,2012
SLV,3.0,1254
SRB,3.0,1280
SRB,4.0,1200
SRB,5.0,1220
SRB,7.0,1046
SVK,2.0,466
SVK,3.0,1095
SVK,7.0,1200
SVN,3.0,1007
SVN,5.0,1037
SVN,6.0,1069
SWE,3.0,1009
SWE,4.0,1015
SWE,5.0,1003
SWE,6.0,1206
THA,5.0,1534
THA,6.0,1200
THA,7.0,1500
TJK,7.0,1200
TTO,5.0,1002
TTO,6.0,999
TUN,6.0,1205
TUN,7.0,1208
TUR,2.0,1030
TUR,3.0,1907
TUR,4.0,3401
TUR,5.0,1346
TUR,6.0,1605
TUR,7.0,2415
TWN,3.0,780
TWN,5.0,1227
TWN,6.0,1238
TWN,7.0,1223
TZA,4.0,1171
UGA,4.0,1002
UKR,3.0,2811
UKR,5.0,1000
UKR,6.0,1500
UKR,7.0,1289
URY,3.0,1000
URY,5.0,1000
URY,6.0,1000
URY,7.0,1000
USA,3.0,1542
USA,4.0,1200
USA,5.0,1249
USA,6.0,2232
USA,7.0,2596
UZB,6.0,1500
UZB,7.0,1250
VEN,3.0,1200
VEN,4.0,1200
VEN,7.0,1190
VNM,4.0,1000
VNM,5.0,1495
VNM,7.0,1200
YEM,6.0,1000
ZAF,1.0,1596
ZAF,2.0,2736
ZAF,3.0,2935
ZAF,4.0,3000
ZAF,5.0,2988
ZAF,6.0,3531
ZMB,5.0,1500
ZWE,4.0,1002
ZWE,6.0,1500
ZWE,7.0,1215
