country,n_waves_present
JPN,7
MEX,7
ARG,7
KOR,7
TUR,6
IND,6
CHL,6
CHN,6
ZAF,6
RUS,5
USA,5
BRA,5
PER,5
NGA,5
AUS,5
ESP,5
IRQ,4
UKR,4
ROU,4
JOR,4
EGY,4
TWN,4
DEU,4
URY,4
MAR,4
PHL,4
COL,4
SWE,4
SRB,4
PAK,4
NZL,4
POL,4
SGP,3
ZWE,3
KGZ,3
PRI,3
MDA,3
NLD,3
IRN,3
THA,3
IDN,3
HUN,3
ARM,3
VNM,3
BGD,3
VEN,3
BLR,3
CAN,3
CHE,3
CYP,3
CZE,3
FIN,3
GBR,3
GEO,3
SVN,3
HKG,3
SVK,3
MYS,3
TUN,2
TTO,2
MNE,2
UZB,2
NOR,2
RWA,2
ALB,2
GTM,2
AND,2
ECU,2
DZA,2
EST,2
GHA,2
LBN,2
LBY,2
BIH,2
BGR,2
ETH,2
MKD,2
AZE,2
KAZ,2
TZA,1
FRA,1
TJK,1
MNG,1
UGA,1
DOM,1
BFA,1
YEM,1
ZMB,1
BOL,1
HTI,1
GRC,1
HRV,1
MLI,1
NIC,1
NIR,1
MDV,1
MAC,1
LVA,1
KWT,1
PSE,1
QAT,1
KEN,1
ITA,1
SAU,1
ISR,1
SLV,1
MMR,1
LTU,1
