country,wave,year,n_respondents,index_all,index_imf,index_idawb,index_unsc
ALB,3.0,1998.0,998,0.109750198444997,0.0948764204944181,0.0635090786273924,0.274215906880216
ALB,4.0,2002.0,1000,0.1456821030168021,0.2658799294441383,0.0610614015967349,0.2417188694567691
AND,5.0,2005.0,1003,0.0837241200907742,-0.2046118090886332,0.2008322493418169,-0.0291247623434403
AND,7.0,2018.0,1004,0.1612839945133586,0.0472378720345105,0.2247495255466913,0.1473985379209916
ARG,1.0,1984.0,1002,-0.2606774506126494,0.1540534238837335,,-0.3759283070572746
ARG,2.0,1991.0,1002,0.0304048240309213,0.1457804600206498,0.1176605504279476,-0.0973593637014798
ARG,3.0,1995.0,1079,-0.0638640621617499,-0.1172228465317632,0.051681976636866,-0.2548305140451831
ARG,4.0,1999.0,1280,-0.2715129817571963,-0.1492293955590085,-0.2383911420298191,-0.3734402770223334
ARG,5.0,2006.0,1002,-0.0187200462471551,-0.0864143452190015,0.0192693175638232,-0.094620234969827
ARG,6.0,2013.0,1030,-0.0617138440419789,-0.1309551344671921,0.0409763407581922,-0.2799480296651501
ARG,7.0,2017.0,1003,-0.0161858321356998,-0.1441747485326805,0.0195265371055197,-0.0003598822018977
ARM,3.0,1997.0,2000,-0.0261165510608422,-0.0250824303472467,-0.1366845820731222,0.2054763527896099
ARM,6.0,2011.0,1100,0.0729188508248776,0.0224569484692802,0.001038766694012,0.234917844498773
ARM,7.0,2021.0,1223,0.0371328629594177,-0.0863941403719834,-0.0024583311918263,0.1145636776359409
AUS,1.0,1981.0,1227,0.1613884380902265,,,0.1613884380902265
AUS,3.0,1995.0,2048,-0.0061087209236834,-0.0989424516149541,0.0958988335402728,-0.1165560986986146
AUS,5.0,2005.0,1421,0.0588724770624609,-0.0379280316529852,0.0737000449653509,0.1011909814600138
AUS,6.0,2012.0,1475,0.1564612245999485,0.0104222434448958,0.1954255978060343,0.2158140562893766
AUS,7.0,2018.0,1811,0.0920547673560704,0.0264845472991732,0.1835084432113981,0.0286448529831616
AZE,3.0,1997.0,2002,0.1626851725971546,0.0969119047580831,0.1723273682352705,0.1658632084635101
AZE,6.0,2011.0,1002,0.0310741680201268,-0.0199683177270449,0.0320698850527964,0.099930123788363
BFA,5.0,2007.0,1534,0.0466880288655623,-0.0111815548843961,0.0088476642781977,0.166916313271184
BGD,3.0,1996.0,1524,0.3428218379322661,0.2333455838072933,0.4021250010439442,0.2815190836149074
BGD,4.0,2002.0,1500,0.2593399641393879,0.0853992689759186,0.2395157329119168,0.3301250928053001
BGD,7.0,2018.0,1200,0.0105979254270311,0.0043050125151625,0.01606837923358,0.0192674568647748
BGR,3.0,1997.0,1072,-0.0134462404594397,0.0650926144943962,-0.0950004557696662,0.1179703545349521
BGR,5.0,2006.0,1001,-0.0584048787597718,0.0904853995269069,-0.13905032914707,0.0279422789937371
BIH,3.0,1998.0,1200,0.1393761406808854,0.109210013701792,0.1015971750663874,0.2720857868624513
BIH,4.0,2001.0,1200,0.0581276432910046,0.1952446987938965,0.0178570922870466,0.0663276703518628
BLR,2.0,1990.0,1015,0.0715562914043997,0.0428595696459583,-0.0335719517508158,0.1078574973490775
BLR,3.0,1996.0,2092,-0.0025795730658665,0.1109626141415039,-0.1314047602437699,0.1426920610162301
BLR,6.0,2011.0,1535,0.006436632595303,0.1380950750320457,-0.0124737313786871,-0.0449596983735846
BOL,7.0,2017.0,2067,-0.1410320373482941,-0.2257428456822373,-0.1232506725702868,-0.1285446403187111
BRA,2.0,1991.0,1782,0.0349256692306157,-0.0074427495728544,0.132123059073942,-0.0358681933960105
BRA,3.0,1997.0,1143,-0.0398259304228139,-0.0345509433770897,-0.1302927504756122,0.142060109964608
BRA,5.0,2006.0,1500,-0.0924945692784021,0.017122690193991,-0.1624910331666682,0.0028867771119426
BRA,6.0,2014.0,1486,-0.1003622690215875,-0.0225238632880153,-0.0758094887030061,-0.2170411653104237
BRA,7.0,2018.0,1762,-0.0561133436478704,-0.0761478779127282,-0.0983992291033497,0.0102850369434701
CAN,4.0,2000.0,1931,0.0252843514271704,0.014920338252483,0.1215640219081921,-0.0695614420097148
CAN,5.0,2006.0,2164,0.0377218621156686,0.020020415608061,0.0908429352683216,-0.0332859957477166
CAN,7.0,2020.0,4018,0.1373539654531708,0.093041831322859,0.1835821609264507,0.1136395084964197
CHE,2.0,1989.0,1400,-0.3610236874346555,-0.6427125408224071,-0.3432525259618184,-0.2249901510960146
CHE,3.0,1996.0,1212,0.004429970524928,-0.0273683599254712,0.1164041144235245,-0.1363670923367046
CHE,5.0,2007.0,1241,0.0725322888251706,-0.1286963756665765,0.1391085839536782,0.0485772330273506
CHL,2.0,1990.0,1500,-0.0794327457456523,-0.0375736645252813,-0.1570345684232318,-0.0572616183922059
CHL,3.0,1996.0,1000,-0.061440409852253,-0.0980843090663559,-0.048384036662321,-0.0800435514891322
CHL,4.0,2000.0,1200,-0.1066222233948698,-0.0878451132850118,-0.1042006166815005,-0.1298715932958234
CHL,5.0,2006.0,1000,-0.0733025085826904,-0.1514658911406374,-0.0728496893631498,-0.0486262264248351
CHL,6.0,2012.0,1000,-0.0694773418774039,-0.2064480732382206,0.0025940441091539,-0.1749399016101195
CHL,7.0,2018.0,1000,-0.0623860217547777,-0.0745735332529659,-0.1116826620838878,-0.0012401291942499
CHN,2.0,1990.0,1000,0.1849370939164969,0.106607276667054,-0.054865683818041,0.3668536292866807
