wave,weighting_year,weighted_variance,n_countries,top1_share,balanced_panel
1.0,1974,,0,,False
1.0,1975,,0,,False
1.0,1976,,0,,False
1.0,1977,,0,,False
1.0,1978,,0,,False
1.0,1979,,0,,False
1.0,1980,,0,,False
1.0,1981,,0,,False
1.0,1982,,0,,False
1.0,1983,,0,,False
1.0,1984,,0,,False
1.0,1985,,0,,False
1.0,1986,,0,,False
1.0,1987,,0,,False
1.0,1988,,0,,False
1.0,1989,,0,,False
1.0,1990,,0,,False
1.0,1991,,0,,False
1.0,1992,,0,,False
1.0,1993,,0,,False
1.0,1994,,0,,False
1.0,1995,,0,,False
1.0,1996,,0,,False
1.0,1997,,0,,False
1.0,1998,,0,,False
1.0,1999,,0,,False
1.0,2000,,0,,False
1.0,2001,,0,,False
1.0,2002,,0,,False
1.0,2003,,0,,False
1.0,2004,,0,,False
1.0,2005,,0,,False
1.0,2006,,0,,False
1.0,2007,,0,,False
1.0,2008,,0,,False
1.0,2009,,0,,False
1.0,2010,,0,,False
1.0,2011,,0,,False
1.0,2012,,0,,False
1.0,2013,,0,,False
1.0,2014,,0,,False
1.0,2015,,0,,False
1.0,2016,,0,,False
1.0,2017,,0,,False
1.0,2018,,0,,False
1.0,2019,,0,,False
1.0,2020,,0,,False
1.0,2021,,0,,False
1.0,2022,,0,,False
1.0,2023,,0,,False
2.0,1974,0.03103495709467577,13,0.38293201451919456,False
2.0,1975,0.03055593425367456,13,0.38315984726318214,False
2.0,1976,0.03137390821522643,13,0.3979814658059489,False
2.0,1977,0.031283653266873324,13,0.4220316621510493,False
2.0,1978,0.03165302580674968,13,0.47090191642782203,False
2.0,1979,0.030830965700099345,13,0.4395336222413761,False
2.0,1980,0.030427678316754875,13,0.4184710146450407,False
2.0,1981,0.03023017766385777,13,0.4169895775504041,False
2.0,1982,0.03127979894251233,13,0.4128607287930376,False
2.0,1983,0.029576813109975054,13,0.45093138282123346,False
2.0,1984,0.02921901814055669,13,0.46021724452325957,False
2.0,1985,0.028522274443627177,13,0.4634102470912,False
2.0,1986,0.02775147916425862,13,0.5413161007720595,False
2.0,1987,0.02729290226676407,13,0.5614566279859817,False
2.0,1988,0.02659264703221893,13,0.5774884887210673,False
2.0,1989,0.027684279637375627,13,0.5529977836718677,False
2.0,1990,0.029237411210864924,14,0.5097042335318526,False
2.0,1991,0.0272082020509428,14,0.5370842276422948,False
2.0,1992,0.02928311356197593,15,0.5077062367174833,False
2.0,1993,0.028855825579791886,18,0.5260415866765049,False
2.0,1994,0.029328387437831106,18,0.5243682306626039,False
2.0,1995,0.03022637365665661,18,0.5146236114179913,False
2.0,1996,0.030996925640819337,18,0.46448822581982097,False
2.0,1997,0.03121771474833168,18,0.43453573789225464,False
2.0,1998,0.030903598833280362,18,0.4155555225582205,False
2.0,1999,0.028280644168744144,18,0.4567257136818017,False
2.0,2000,0.028344968685238375,18,0.4560785301045012,False
2.0,2001,0.027653621937430976,18,0.42152516718831545,False
2.0,2002,0.02631782856645595,18,0.4004915293047513,False
2.0,2003,0.026524705290758944,18,0.3856841049573995,False
2.0,2004,0.026919715340844187,18,0.3644713104113807,False
2.0,2005,0.027566472255096435,18,0.3253996807893409,False
2.0,2006,0.02750579645411832,18,0.28293199851470585,False
2.0,2007,0.027155270164343707,18,0.24372836254047356,False
2.0,2008,0.02715626606764772,18,0.2367480541625692,False
2.0,2009,0.026406660123135167,18,0.2503572543142447,False
2.0,2010,0.02688061748592668,18,0.24773690696313005,False
2.0,2011,0.02672816494391339,18,0.26618704162816076,False
2.0,2012,0.025910295421740837,18,0.2910306571984309,False
2.0,2013,0.024738952565628095,18,0.3213142786768846,False
2.0,2014,0.023711563590661407,18,0.3435016415729876,False
2.0,2015,0.02186563577779411,18,0.38526697731152876,False
2.0,2016,0.021921816210165035,18,0.3825880943863076,False
2.0,2017,0.02181279854103089,18,0.38714845571589324,False
2.0,2018,0.020478172502272806,18,0.4111920974450046,False
2.0,2019,0.02013678541859248,18,0.4167996309709627,False
2.0,2020,0.019121190872354227,18,0.4405316664211459,False
2.0,2021,0.01844273229612703,18,0.4616685047848104,False
2.0,2022,0.018923399531468574,18,0.45819870469843305,False
2.0,2023,0.01928881705084282,18,0.44519861622860046,False
3.0,1974,0.020641298148116632,32,0.40509458375162455,False
3.0,1975,0.02077554358703704,32,0.40128850912665304,False
3.0,1976,0.021078291442437707,32,0.41211483083133094,False
3.0,1977,0.021181173649199962,32,0.40480488408120585,False
3.0,1978,0.020491135189765624,32,0.38380504191314174,False
3.0,1979,0.0205518066372107,32,0.37602063296226657,False
3.0,1980,0.021533796883557263,34,0.36741693278076387,False
3.0,1981,0.021865675594002983,34,0.38728629544535903,False
3.0,1982,0.021993223572648338,34,0.4080012084348927,False
3.0,1983,0.020558813868417562,34,0.43172061767567077,False
3.0,1984,0.02004221635095307,34,0.45510768018792763,False
3.0,1985,0.020050952379500563,34,0.46365980337996104,False
3.0,1986,0.01887354180341081,34,0.4181131695252511,False
3.0,1987,0.018935405905230067,35,0.38911540573794784,False
3.0,1988,0.018685490786244888,35,0.3724147128187837,False
3.0,1989,0.01915818020554198,35,0.38153594625884635,False
3.0,1990,0.019449441870611414,36,0.36361090443907773,False
3.0,1991,0.018168618912109993,36,0.3557594507600828,False
3.0,1992,0.026485112060208826,44,0.3414525174597708,False
3.0,1993,0.025790968086185306,49,0.3438469945321436,False
3.0,1994,0.02509202620935259,49,0.3375083760581497,False
3.0,1995,0.02502934070448774,51,0.3179882584584797,False
3.0,1996,0.02563388294581205,51,0.3313099722166084,False
3.0,1997,0.02628969554238275,51,0.3499899810726755,False
3.0,1998,0.02453609480888683,51,0.36862720797720694,False
3.0,1999,0.022169378674037104,51,0.37858079303073366,False
3.0,2000,0.023682618039388537,51,0.38513340868347296,False
3.0,2001,0.02442925690978495,51,0.40096701103597804,False
3.0,2002,0.024519789808269292,51,0.40220846116305453,False
3.0,2003,0.024951600413305294,52,0.3815137401584082,False
3.0,2004,0.026480803673334902,52,0.36316382204112335,False
3.0,2005,0.028595828114622072,52,0.3581914482267808,False
3.0,2006,0.030851605118249626,52,0.35203703548660786,False
3.0,2007,0.033143739980492026,54,0.32925798277020396,False
3.0,2008,0.035044077920241556,54,0.30832505485167294,False
3.0,2009,0.03270608222604355,54,0.3161052449754676,False
3.0,2010,0.03439793841870864,54,0.29828895730881616,False
3.0,2011,0.03602126488591506,54,0.2786469198073627,False
3.0,2012,0.03627298885179495,54,0.2817779732951127,False
3.0,2013,0.03658819902129153,54,0.2847032571633163,False
3.0,2014,0.03535942212218769,54,0.28783274502039313,False
3.0,2015,0.031289177911567954,53,0.31353609705927893,False
3.0,2016,0.030968275238099842,53,0.3168072206440494,False
3.0,2017,0.032463454053567035,53,0.31012067394208737,False
3.0,2018,0.03202306391454755,53,0.3075436103806039,False
3.0,2019,0.03191560372327055,53,0.3150062696475427,False
3.0,2020,0.030634235595713717,53,0.31925970077733934,False
3.0,2021,0.0312976547779039,53,0.3105030664347602,False
3.0,2022,0.03321343555139833,53,0.3286371788038824,False
3.0,2023,0.032173326420826376,53,0.3356076007586197,False
4.0,1974,0.01677337562865499,33,0.4884990992841139,False
4.0,1975,0.015572609419304875,33,0.4880257729299508,False
4.0,1976,0.015067276766067068,33,0.4907847139750045,False
4.0,1977,0.015009691964575994,33,0.4839157807823542,False
4.0,1978,0.014702884009607833,33,0.4681240424087005,False
4.0,1979,0.014706477139227285,33,0.46379088089570014,False
4.0,1980,0.015004733748545851,34,0.45246834113549966,False
4.0,1981,0.01502388716708358,34,0.4571923831890996,False
4.0,1982,0.015181219310769573,34,0.47978160170664363,False
4.0,1983,0.015129136308106715,34,0.49338020179636255,False
4.0,1984,0.014644316386255013,34,0.5105367268702224,False
4.0,1985,0.01401233529347424,35,0.517430311724907,False
4.0,1986,0.013335773746958681,35,0.4841156948604697,False
4.0,1987,0.012856622895563878,35,0.4667888463933325,False
4.0,1988,0.012709940251483134,35,0.4489616483784607,False
4.0,1989,0.012146341157585868,35,0.46041331816382913,False
4.0,1990,0.013613188209213055,35,0.4484788956377853,False
4.0,1991,0.0129720329075574,35,0.43876342868817464,False
4.0,1992,0.013300362767730084,38,0.4338749816978602,False
4.0,1993,0.012999573364240064,39,0.4292282218462787,False
4.0,1994,0.01308364672722829,39,0.4225180807026803,False
4.0,1995,0.013242801794429567,39,0.4078180600678849,False
4.0,1996,0.014147080916405432,39,0.42328527233500923,False
4.0,1997,0.014732614343858579,39,0.44296308429521347,False
4.0,1998,0.015162816897569218,39,0.46897705277890434,False
4.0,1999,0.014393948403291949,39,0.46549863054767626,False
4.0,2000,0.01442529326073691,39,0.4623429903462437,False
4.0,2001,0.014459617051893576,39,0.4815227837845832,False
4.0,2002,0.013623895155820444,39,0.48771572253147133,False
4.0,2003,0.013900506704790533,39,0.4712175623512444,False
4.0,2004,0.01433145743800965,39,0.45533279938070076,False
4.0,2005,0.014897891186587109,39,0.44911960290205627,False
4.0,2006,0.0155198220672139,39,0.4423880850718798,False
4.0,2007,0.016449332088335888,41,0.42121695460298,False
4.0,2008,0.01682063537004308,41,0.39636943238852984,False
4.0,2009,0.016715062242784785,41,0.39308066847090783,False
4.0,2010,0.017276357445246637,41,0.3675164115597019,False
4.0,2011,0.017487636135602298,41,0.34586903195836866,False
4.0,2012,0.017450332832732975,41,0.3447345522180115,False
4.0,2013,0.017986924942590705,41,0.3503491716034571,False
4.0,2014,0.018071263655976832,41,0.3523952014163251,False
4.0,2015,0.018376786122366328,40,0.371062652683934,False
4.0,2016,0.01830926723953223,40,0.3700416269295121,False
4.0,2017,0.018545049542574243,40,0.364059018992505,False
4.0,2018,0.018092952749825638,40,0.36103140620390445,False
4.0,2019,0.018145995085760997,40,0.3668604084679615,False
4.0,2020,0.01810415564376979,40,0.3693454765084977,False
4.0,2021,0.01835933015823231,40,0.3590659349683449,False
4.0,2022,0.018927050478364217,40,0.37753372260920953,False
4.0,2023,0.018947094949443674,40,0.38875357316642883,False
5.0,1974,0.008323880005450248,45,0.3361733485964159,False
5.0,1975,0.0084095598555622,46,0.3295969788879526,False
5.0,1976,0.00843527936248818,46,0.3382325128464618,False
5.0,1977,0.008349171088293706,46,0.3327890759679087,False
5.0,1978,0.00822708819797525,46,0.3162293482213485,False
5.0,1979,0.008352123428306395,46,0.30736697080114117,False
5.0,1980,0.00864949741930598,47,0.29828759319480314,False
5.0,1981,0.008501163891183994,47,0.3258954737854876,False
5.0,1982,0.008349967932027635,47,0.34171915573861167,False
5.0,1983,0.007987109015482404,47,0.35985079646157403,False
5.0,1984,0.0077875506948248616,47,0.38176090392870365,False
5.0,1985,0.007901458191229964,49,0.38923174106628916,False
5.0,1986,0.008141403677494323,49,0.3447561776852965,False
5.0,1987,0.008381974262973617,50,0.31932540450092023,False
5.0,1988,0.008271287267640424,50,0.307220454910981,False
5.0,1989,0.008275877637424297,50,0.3152240410721516,False
5.0,1990,0.008486852247913748,51,0.29465438792294835,False
5.0,1991,0.00829548169079038,51,0.29198808822813427,False
5.0,1992,0.008061838671397054,55,0.2821162816849455,False
5.0,1993,0.007880162570019118,55,0.2915163040324304,False
5.0,1994,0.008063536882523535,55,0.28765194389412535,False
5.0,1995,0.008208828315368216,55,0.27159697078227524,False
5.0,1996,0.008462840556154937,55,0.281659984569292,False
5.0,1997,0.008333470848894884,55,0.3006496624962722,False
5.0,1998,0.008193322849460645,55,0.31825452132922155,False
5.0,1999,0.007857534914429315,55,0.32552308621129683,False
5.0,2000,0.007749321485495763,55,0.3354503936163709,False
5.0,2001,0.00772878770049485,55,0.34874711101739125,False
5.0,2002,0.007824327646761567,55,0.3476302809718136,False
5.0,2003,0.0079855118418203,56,0.32545416395402976,False
5.0,2004,0.008118469513724526,56,0.30918989081286596,False
5.0,2005,0.008297183626882702,56,0.3062030778311373,False
5.0,2006,0.008457497337249502,56,0.30104659854538585,False
5.0,2007,0.008790203115104379,57,0.28083057487989693,False
5.0,2008,0.00910499087378103,57,0.2629936485849516,False
5.0,2009,0.0091494573048276,57,0.2706554832559673,False
5.0,2010,0.009597341329526452,57,0.2569890027706293,False
5.0,2011,0.00990152160545962,57,0.23963929486680313,False
5.0,2012,0.009884296148046338,57,0.24465969241068572,False
5.0,2013,0.009942542108613861,57,0.24772669768122962,False
5.0,2014,0.009925263987198847,57,0.25213400889375825,False
5.0,2015,0.00951642403065204,57,0.27576478558659245,False
5.0,2016,0.009522268416992696,57,0.2782089358123237,False
5.0,2017,0.009652930480022264,57,0.27259558211049895,False
5.0,2018,0.00961374686381297,57,0.27066554575685614,False
5.0,2019,0.009577882987941416,57,0.27803575965608235,False
5.0,2020,0.009380826389248496,57,0.28248166643992795,False
5.0,2021,0.009411934882075377,57,0.27460232193174977,False
5.0,2022,0.009352350300877344,57,0.29167223675892606,False
5.0,2023,0.009392737694050765,57,0.29721738113413826,False
6.0,1974,0.008101798069908895,42,0.4225568683401125,False
6.0,1975,0.00829490876861439,43,0.42110887827401516,False
6.0,1976,0.008172603943140665,43,0.427286791086771,False
6.0,1977,0.00802238166069543,43,0.4185586938983758,False
6.0,1978,0.008083043369539997,43,0.39895938310557527,False
6.0,1979,0.00837228805586456,43,0.39223746398645826,False
6.0,1980,0.008942327119198654,43,0.38684785744524436,False
6.0,1981,0.008732856585263429,43,0.40732681249118746,False
6.0,1982,0.008269103061675106,43,0.4278730337905527,False
6.0,1983,0.00763678983357832,43,0.4503381385472688,False
6.0,1984,0.007329040276608317,43,0.47130672233993637,False
6.0,1985,0.007104539588479595,43,0.480747904111595,False
6.0,1986,0.007183072178305399,43,0.436804282138198,False
6.0,1987,0.007593634854976329,44,0.40873096998726094,False
6.0,1988,0.007606370376273818,45,0.39417797870893007,False
6.0,1989,0.007724342521153526,45,0.40196959672238974,False
6.0,1990,0.008129012377044966,47,0.3820178596912569,False
6.0,1991,0.007763443839813258,47,0.37708646276597796,False
6.0,1992,0.008561689559879813,55,0.35841048894517136,False
6.0,1993,0.008388890680879455,57,0.35758631589401674,False
6.0,1994,0.008323724888557097,58,0.3507918526743882,False
6.0,1995,0.008243544942366838,58,0.3327009204517299,False
6.0,1996,0.00828143183423257,58,0.3466082088754854,False
6.0,1997,0.008266701399482119,58,0.36795801196656147,False
6.0,1998,0.008023145336491911,58,0.3906826271341511,False
6.0,1999,0.007587928668206558,58,0.4002546760827295,False
6.0,2000,0.007539157659661122,58,0.40525747502167436,False
6.0,2001,0.007509264391617017,58,0.422778970054569,False
6.0,2002,0.007561978749955071,58,0.4259545998277262,False
6.0,2003,0.00775890488963266,59,0.405574481717757,False
6.0,2004,0.008094663979137632,59,0.3876438391303371,False
6.0,2005,0.008301045553767756,59,0.38126075472063486,False
