country,wave,year,n_respondents,index_all_ym,index_imf_ym,index_idawb_ym,index_unsc_ym,index_all_y,index_imf_y,index_idawb_y,index_unsc_y
ALB,3.0,1998.0,998,0.10975019844499707,0.09487642049441818,0.06350907862739247,0.274215906880216,0.1539022914134851,0.21673148235121426,0.025108743096446638,0.34376073927987805
ALB,4.0,2002.0,1000,0.14568210301680218,0.26587992944413835,0.061061401596734954,0.2417188694567691,0.24566938562357624,0.2874743145319966,0.18026343593536304,0.32471186394664564
AND,5.0,2005.0,1003,0.08372412009077422,-0.20461180908863327,0.20083224934181693,-0.029124762343440302,0.0448893730862845,-0.21690846919158135,0.16903010588572176,-0.04398924374937028
AND,7.0,2018.0,1004,0.16128399451335865,0.04723787203451058,0.22474952554669134,0.14739853792099167,0.1999354076165153,0.05399680365617871,0.27789966244656844,0.18181351673174811
ARG,1.0,1984.0,1002,-0.26067745061264946,0.15405342388373358,,-0.37592830705727465,-0.04821576138915059,0.15405342388373358,,-0.16349295755863755
ARG,2.0,1991.0,1002,0.03040482403092134,0.14578046002064982,0.11766055042794768,-0.09735936370147985,0.08797409756193575,0.18857318658632516,0.148705878071943,-0.008235388596421913
ARG,3.0,1995.0,1079,-0.06386406216174995,-0.11722284653176321,0.05168197663686602,-0.25483051404518314,-0.04895974792402745,-0.06815991669989897,0.05928292324790458,-0.17966997060365383
ARG,4.0,1999.0,1280,-0.2715129817571963,-0.14922939555900855,-0.2383911420298191,-0.3734402770223334,-0.2750771501996123,-0.11712711257140171,-0.27603095675567063,-0.33650105993891577
ARG,5.0,2006.0,1002,-0.018720046247155175,-0.08641434521900156,0.019269317563823215,-0.09462023496982701,0.003510556339020505,-0.07212143085535876,0.01123616892178131,-0.029247326752497957
ARG,6.0,2013.0,1030,-0.061713844041978994,-0.1309551344671921,0.04097634075819226,-0.2799480296651501,-0.011163507922628279,0.023631039710932732,0.05710101805121459,-0.2878399990321976
ARG,7.0,2017.0,1003,-0.01618583213569988,-0.14417474853268053,0.019526537105519732,-0.00035988220189776105,0.030421352089593054,-0.07296877529780478,0.05184780846808055,0.04149999919640663
ARM,3.0,1997.0,2000,-0.02611655106084226,-0.02508243034724678,-0.13668458207312228,0.20547635278960996,-0.0402381644079251,-0.0667495120362764,-0.21424890984707326,0.22130836602290824
ARM,6.0,2011.0,1100,0.0729188508248776,0.022456948469280237,0.001038766694012063,0.23491784449877307,0.04365276289800847,-0.012019577308985813,-0.023197145179707186,0.19697173838264717
ARM,7.0,2021.0,1223,0.03713286295941773,-0.08639414037198341,-0.0024583311918263194,0.11456367763594098,0.03524519872904435,-0.15184514464171414,0.018212234332040396,0.09851335213613498
AUS,1.0,1981.0,1227,0.16138843809022657,,,0.16138843809022657,0.26250042306592253,,,0.26250042306592253
AUS,3.0,1995.0,2048,-0.00610872092368343,-0.09894245161495413,0.09589883354027283,-0.11655609869861464,-0.010630599458034249,-0.09982911694936342,0.1538068028627205,-0.14529045790278816
AUS,5.0,2005.0,1421,0.05887247706246098,-0.0379280316529852,0.07370004496535092,0.10119098146001385,0.034334105650034384,-0.041991048280746276,0.05287637787675083,0.07409885728224445
AUS,6.0,2012.0,1475,0.15646122459994852,0.010422243444895845,0.1954255978060343,0.21581405628937664,0.17747727756317344,0.03116416935858516,0.22877472664436224,0.18337980486824787
AUS,7.0,2018.0,1811,0.0920547673560704,0.026484547299173242,0.18350844321139817,0.02864485298316169,0.1163028342111155,0.04957494632635749,0.226166288493392,0.0397394263514226
AZE,3.0,1997.0,2002,0.16268517259715468,0.09691190475808316,0.17232736823527053,0.1658632084635101,0.13144852940505422,0.038199460657776296,0.12802623530032456,0.1698362195153914
AZE,6.0,2011.0,1002,0.031074168020126823,-0.01996831772704496,0.03206988505279646,0.09993012378836309,-0.0210789945796367,-0.07917670387698424,-0.027156780041278836,0.10572118331375907
BFA,5.0,2007.0,1534,0.04668802886556233,-0.011181554884396174,0.008847664278197774,0.16691631327118403,0.05601722784776811,0.059145032856441654,-0.03020873422682361,0.21584683173027275
BGD,3.0,1996.0,1524,0.34282183793226617,0.2333455838072933,0.4021250010439442,0.2815190836149074,0.33718286917169105,0.2826586509634656,0.33261053294340304,0.33786403218774197
BGD,4.0,2002.0,1500,0.2593399641393879,0.0853992689759186,0.2395157329119168,0.33012509280530017,0.24965524643561252,0.05254906292038472,0.22223200247090835,0.3251256785407164
BGD,7.0,2018.0,1200,0.010597925427031111,0.00430501251516254,0.016068379233580028,0.019267456864774865,0.00375381879461918,-0.09299953276726862,0.06487788757014971,-0.0037260970397963397
BGR,3.0,1997.0,1072,-0.01344624045943972,0.06509261449439624,-0.09500045576966623,0.11797035453495212,-0.020050947083825033,0.1863676907886144,-0.18722751127783982,0.08248922844767695
BGR,5.0,2006.0,1001,-0.05840487875977182,0.09048539952690692,-0.13905032914707008,0.027942278993737104,-0.08926550665121878,0.2002029381368008,-0.24495337273580411,0.047104508518580286
BIH,3.0,1998.0,1200,0.1393761406808854,0.10921001370179202,0.10159717506638745,0.27208578686245133,0.19159958534224578,0.14618739123623595,0.18387797785796137,0.23398018105022989
BIH,4.0,2001.0,1200,0.05812764329100465,0.19524469879389653,0.017857092287046624,0.06632767035186284,0.09216402993426377,0.20862648733860018,0.0571562163110934,0.09306811038127878
BLR,2.0,1990.0,1015,0.07155629140439973,0.04285956964595834,-0.03357195175081589,0.1078574973490775,0.06555336441361957,0.050601135570968764,-0.0335719517508159,0.08296415314181774
BLR,3.0,1996.0,2092,-0.002579573065866524,0.11096261414150396,-0.13140476024376996,0.1426920610162301,0.0026297192277026237,0.08040220566919525,-0.15317429934980245,0.11468339901902319
BLR,6.0,2011.0,1535,0.006436632595303059,0.1380950750320457,-0.012473731378687134,-0.044959698373584656,-0.006057078157765232,0.29828713750943325,-0.0370925512621816,-0.13322715684538136
BOL,7.0,2017.0,2067,-0.1410320373482941,-0.22574284568223738,-0.12325067257028686,-0.12854464031871116,-0.15188105619431855,-0.24877410434588243,-0.12925348666263414,-0.14651526953502383
BRA,2.0,1991.0,1782,0.034925669230615713,-0.007442749572854423,0.132123059073942,-0.03586819339601053,0.07812277686001189,-0.035457144797344735,0.16739592718341711,0.052852608653568535
BRA,3.0,1997.0,1143,-0.039825930422813974,-0.03455094337708973,-0.13029275047561228,0.14206010996460802,-0.04482399937808677,-0.026890677135331945,-0.2125582756784416,0.1749851266627048
BRA,5.0,2006.0,1500,-0.0924945692784021,0.01712269019399105,-0.16249103316666821,0.0028867771119426874,-0.10770602153679922,-0.060664526445913025,-0.19022624055839427,0.039239692531726406
BRA,6.0,2014.0,1486,-0.10036226902158754,-0.022523863288015342,-0.07580948870300613,-0.2170411653104237,-0.11761760597118093,-0.10814807257779677,-0.08269363698281788,-0.18863472083263383
BRA,7.0,2018.0,1762,-0.05611334364787045,-0.07614787791272823,-0.09839922910334972,0.010285036943470185,-0.052362087102476654,-0.07429706044322622,-0.13765825658209263,0.05372876798114435
CAN,4.0,2000.0,1931,0.025284351427170414,0.014920338252483005,0.1215640219081921,-0.06956144200971488,0.034290777831600026,0.04009683938252465,0.13484789483783644,-0.05724699533551996
CAN,5.0,2006.0,2164,0.037721862115668685,0.02002041560806105,0.09084293526832168,-0.03328599574771667,0.04992335439598942,-0.004421870017085339,0.1481013661513473,-0.06262504451792249
CAN,7.0,2020.0,4018,0.13735396545317086,0.09304183132285901,0.1835821609264507,0.1136395084964197,0.16837481712609334,0.10245216785520049,0.19114769047041819,0.17810554682376092
CHE,2.0,1989.0,1400,-0.36102368743465557,-0.6427125408224071,-0.3432525259618184,-0.22499015109601467,-0.4519014778732639,-0.6427125408224071,-0.3432525259618184,-0.3654274352167061
CHE,3.0,1996.0,1212,0.004429970524928002,-0.02736835992547127,0.11640411442352458,-0.13636709233670466,0.025661963806390225,-0.0723200589613994,0.21613525860855998,-0.09416023199857425
CHE,5.0,2007.0,1241,0.07253228882517063,-0.12869637566657655,0.1391085839536782,0.04857723302735069,0.05813434308684765,-0.2374064563389081,0.16093509202374584,0.037755879714628494
CHL,2.0,1990.0,1500,-0.07943274574565237,-0.037573664525281394,-0.1570345684232318,-0.05726161839220598,-0.08503717524251017,-0.05545773072345294,-0.13422560115790408,-0.08190641922407574
